location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,new_intensive_care_patients_age_0,new_intensive_care_patients_age_1,new_intensive_care_patients_age_2,new_intensive_care_patients_age_3,new_intensive_care_patients_age_4,new_intensive_care_patients_age_5,new_intensive_care_patients_age_6,new_intensive_care_patients_age_7,new_intensive_care_patients_age_8,cumulative_intensive_care_patients_age_0,cumulative_intensive_care_patients_age_1,cumulative_intensive_care_patients_age_2,cumulative_intensive_care_patients_age_3,cumulative_intensive_care_patients_age_4,cumulative_intensive_care_patients_age_5,cumulative_intensive_care_patients_age_6,cumulative_intensive_care_patients_age_7,cumulative_intensive_care_patients_age_8,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,new_deceased_male,new_deceased_female,cumulative_deceased_male,cumulative_deceased_female,new_hospitalized_patients_male,new_hospitalized_patients_female,cumulative_hospitalized_patients_male,cumulative_hospitalized_patients_female,new_intensive_care_patients_male,new_intensive_care_patients_female,cumulative_intensive_care_patients_male,cumulative_intensive_care_patients_female,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
ES,2020-01-01,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,0,0,8,8,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,0,0,0,0,0,0,5,3,5,3,0,0,0,0,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.932099,-0.444444,12.728395,0.0,,1.409722,79.129995
ES,2020-01-02,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,0,0,73,81,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,17,18,29,1,0,0,2,1,7,19,19,32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,0,0,0,0,0,0,42,31,47,34,1,0,1,0,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.685185,-0.697531,12.092593,0.0,,0.847222,76.94588
ES,2020-01-03,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,0,0,8,89,1,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,2,1,7,21,20,36,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,0,0,0,0,0,0,2,5,49,39,0,1,1,1,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.018519,-0.154321,6.475309,0.0,,1.868056,92.627352
ES,2020-01-04,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,0,0,6,95,0,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,2,1,10,21,21,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,0,0,0,0,0,0,3,3,52,42,0,0,1,1,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.561728,0.04321,11.685185,0.0,,1.243056,74.402139
ES,2020-01-05,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,0,0,7,102,0,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,1,0,1,2,1,11,22,23,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,0,0,0,0,0,0,3,4,55,46,0,0,1,1,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.91358,-1.098765,12.493827,0.0,,-0.416667,70.029415
ES,2020-01-06,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,0,0,5,107,0,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,1,3,1,12,24,23,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,0,0,0,0,0,0,1,4,56,50,0,0,1,1,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.524691,-0.54321,13.660494,0.0,,-0.145833,68.299798
ES,2020-01-07,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,0,0,7,114,1,3,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,1,3,1,12,25,27,43,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,0,0,0,0,0,0,3,4,59,54,0,1,1,2,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.888889,-0.320988,14.462963,0.0,,-0.666667,64.03699
ES,2020-01-08,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,0,0,5,119,0,3,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,3,1,12,26,29,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,0,0,0,0,0,0,3,2,62,56,0,0,1,2,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.753086,0.32716,15.302469,0.0,,-1.145833,58.181746
ES,2020-01-09,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,1,0,1,0,8,127,0,3,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,1,0,1,3,2,13,28,29,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,1,0,1,0,0,0,0,0,4,3,66,59,0,0,1,2,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.722222,1.425926,12.703704,0.0,,1.673611,70.884126
ES,2020-01-10,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,1,0,2,0,9,136,0,3,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0,1,3,2,13,29,32,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,1,0,2,0,0,0,0,0,4,4,70,63,0,0,1,2,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.444444,1.944444,11.419753,0.0,,-0.534722,61.750982
ES,2020-01-11,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,2,0,3,139,1,4,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,3,2,13,29,34,54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,2,0,0,0,0,0,2,1,72,64,0,1,1,3,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.493827,-0.598765,11.493827,0.0,,-2.506944,65.889727
ES,2020-01-12,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,2,0,6,145,0,4,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1,4,2,14,31,34,56,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,2,0,0,0,0,0,3,3,75,67,0,0,1,3,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.907407,-2.981481,10.697531,0.0,,-3.013889,65.867746
ES,2020-01-13,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,2,0,8,153,0,4,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,1,0,1,4,3,17,32,36,57,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,2,0,0,0,0,0,3,5,78,72,0,0,1,3,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.061728,-2.679012,8.283951,0.0,,-2.111111,74.5342
ES,2020-01-14,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,2,0,9,162,1,5,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,1,0,1,4,4,18,37,37,58,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,2,0,0,0,0,0,4,5,82,77,0,1,1,4,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.734568,-3.024691,9.030864,0.0,,-0.604167,79.181941
ES,2020-01-15,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,2,0,10,172,1,6,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,4,1,0,1,5,4,18,40,39,62,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,2,0,0,0,0,0,7,3,89,80,1,0,2,4,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.481481,1.845679,8.388889,0.0,,3.013889,84.605746
ES,2020-01-16,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,2,0,6,178,0,6,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,5,4,18,40,42,64,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,2,0,0,0,0,0,2,3,91,83,0,0,2,4,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.814815,6.092593,13.296296,0.0635,,5.1875,78.60753
ES,2020-01-17,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,2,0,4,182,0,6,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,5,4,18,41,43,65,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,2,0,0,0,0,0,1,2,92,85,0,0,2,4,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.160494,4.098765,12.679012,0.056444,,3.902778,74.768381
ES,2020-01-18,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,1,0,3,0,5,187,0,6,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,1,5,5,18,43,44,66,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,1,2,1,0,0,0,0,2,3,94,88,0,0,2,4,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.506173,3.765432,8.790123,0.635,,5.180556,91.455633
ES,2020-01-19,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,3,0,5,192,1,7,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,5,6,18,44,46,67,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,3,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,2,1,0,0,0,0,4,1,98,89,1,0,3,4,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.12963,2.814815,9.969136,5.30225,,-3.215278,51.34339
ES,2020-01-20,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,3,0,11,203,0,7,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,0,1,5,6,18,45,49,72,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,2,1,0,0,0,0,4,5,102,94,0,0,3,4,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.061728,1.716049,6.395062,3.499556,,-8.1875,40.807413
ES,2020-01-21,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,1,0,4,0,12,215,1,8,,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,1,3,1,1,1,5,7,20,48,50,75,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,2,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,1,0,3,1,0,0,0,0,4,7,106,101,1,0,4,4,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.148148,3.62963,7.345679,9.525,,0.159722,70.217636
ES,2020-01-22,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Q29,country/ESP,ES,Spain,ES,ESP,0,0,0,4,0,6,221,0,8,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,1,5,7,20,50,51,78,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,2,0,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,0,0,3,1,0,0,0,0,1,5,107,106,0,0,4,4,46937060,23009259,23927801,9149372,37927409,6559041,12100168,93.1,0.876,4424389,4837889,4813442,6238063,7796721,6913603,5213631,3818438,2880884,1418587740000,30326,0.743,1311341,40.2,-3.5,505935,432138,69794,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,5.7295,3.8723,2506.464844,590.668274,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.395062,3.580247,10.5,1.905,,2.527778,76.334357
